42,54,99
71,45,86
30,35,99
24,28,68
75,64,63
74,17,59
67,79,49
54,81,88
43,84,10
94,16,57
39,73,27
61,12,87
82,56,89
72,68,25
19,73,95
94,81,14
70,47,43
84,50,41
38,62,81
82,81,83
28,32,98
76,89,36
60,57,24
49,29,79
33,97,72
28,32,98
59,48,38
56,12,96
52,99,51
67,52,94
29,14,97
59,48,38
88,75,73
88,72,69
28,14,53
53,29,11
40,63,32
41,81,40
53,29,11
22,34,98
91,52,22
59,48,38
56,89,97
69,54,63
70,43,13
89,54,20
29,68,51
86,69,50
79,26,37
87,47,36
49,91,36
73,59,54
71,45,86
48,49,78
95,94,90
78,66,88
60,73,64
10,15,54
40,63,32
81,43,35
25,84,68
75,85,12
11,75,86
56,81,34
56,89,97
97,77,19
53,29,11
48,54,57
59,65,73
19,73,95
18,54,88
66,52,35
90,41,57
47,92,48
59,47,87
67,27,29
48,97,84
73,59,54
66,28,56
28,90,27
22,34,98
98,31,16
21,66,47
62,96,37
18,51,38
85,21,87
73,59,54
25,15,65
27,30,14
59,47,87
86,69,50
57,43,23
59,76,88
53,90,53
54,88,66
61,12,87
82,56,89
44,40,37
32,22,90
22,34,98
57,43,23
51,99,19
82,48,94
67,52,94
69,21,92
81,43,35
51,99,19
77,74,17
31,46,60
95,94,90
31,46,60
61,12,87
55,84,73
21,75,29
25,15,65
60,56,22
50,32,51
65,74,79
58,41,35
43,84,10
70,47,43
29,14,97
29,14,97
43,84,10
59,76,88
45,38,94
79,62,10
57,10,38
59,18,57
57,43,23
86,69,50
38,62,81
48,54,57
69,54,63
61,12,87
92,25,66
86,77,43
54,70,56
22,34,98
57,43,23
73,59,54
27,38,47
87,35,21
64,64,68
29,14,97
69,67,44
87,79,44
93,26,54
50,32,51
12,65,36
88,75,73
78,76,34
73,59,54
54,81,88
19,24,66
79,17,49
41,51,52
15,89,10
32,22,90
28,32,98
52,16,95
34,30,61
84,68,66
49,91,36
73,59,54
15,81,23
11,75,86
69,54,63
24,95,84
39,62,48
70,47,43
73,59,54
81,43,35
53,29,11
47,23,15
73,59,54
67,52,94
67,52,94
25,15,65
77,74,17
53,29,11
57,43,23
96,47,93
32,22,90
87,80,87
93,26,54
73,59,54
74,17,59
15,81,23
97,60,30
91,18,83
82,56,89
22,94,27
70,47,43
98,31,16
28,14,76
74,13,47
43,24,37
73,59,54
88,81,27
47,20,66
31,46,60
25,15,65
99,61,78
39,77,42
48,54,57
71,45,86
82,56,89
59,18,57
94,79,97
15,81,23
37,55,74
33,97,72
75,64,63
94,81,14
62,96,37
82,81,83
79,67,65
70,47,43
91,52,22
55,90,61
49,91,36
91,52,22
94,10,25
44,27,55
33,34,98
72,19,19
28,14,76
86,33,28
70,47,43
88,78,83
69,21,92
64,64,68
61,12,87
31,76,38
88,49,78
96,13,57
36,43,21
44,27,55
31,28,85
79,36,72
90,79,85
59,47,87
10,44,91
30,77,78
18,51,38
54,81,88
77,74,17
79,36,72
73,59,54
73,59,54
95,76,84
33,34,98
99,61,78
78,76,34
81,43,35
95,94,90
64,80,60
70,43,13
15,15,86
33,30,96
53,90,53
93,37,65
70,43,13
73,81,30
81,32,45
56,89,97
10,44,91
69,67,44
98,31,16
70,47,43
88,72,69
67,52,94
40,63,32
48,91,71
76,36,22
15,15,86
88,75,73
94,81,14
53,29,11
31,47,15
82,56,89
98,31,16
70,43,13
86,29,63
48,91,71
56,34,13
31,28,85
53,29,11
70,47,43
67,52,94
52,93,43
43,47,37
82,81,83
70,47,43
76,87,40
11,75,86
91,18,83
24,22,27
73,59,54
85,54,46
70,32,29
32,22,90
65,53,38
48,54,57
48,91,71
89,54,20
92,49,95
77,51,38
59,76,88
81,43,35
93,26,54
81,32,45
93,26,54
44,41,55
82,48,94
85,21,87
29,14,97
28,14,53
60,57,24
95,94,90
73,59,54
50,64,15
81,43,35
79,67,65
48,74,96
11,75,86
59,76,88
69,67,44
66,52,35
49,84,58
73,59,54
28,32,98
73,59,54
64,80,60
79,67,65
51,99,19
53,51,25
90,20,11
75,64,63
57,43,23
74,53,18
70,47,43
44,40,37
52,92,63
31,28,85
64,80,60
38,62,81
46,82,86
70,43,13
73,59,54
47,92,48
76,87,40
25,84,68
79,17,49
96,13,57
48,97,84
31,47,15
73,59,54
13,53,21
81,43,35
64,37,71
42,54,99
59,75,22
50,32,51
92,25,66
55,49,50
22,34,98
70,47,43
55,49,50
33,30,96
31,46,60
91,21,80
49,91,36
13,77,32
15,81,23
19,72,45
69,89,85
13,77,32
33,34,98
78,76,34
29,14,97
59,48,38
24,95,84
14,81,52
43,84,10
33,34,98
94,10,25
51,95,58
37,37,63
85,21,87
82,34,36
67,52,94
24,95,84
34,30,61
56,81,34
96,13,57
54,88,66
70,47,43
91,21,80
26,40,10
93,26,54
70,32,29
66,17,37
29,14,97
34,30,61
43,24,37
40,85,34
21,66,47
99,53,25
97,77,19
72,19,19
69,84,85
26,40,10
73,59,54
66,52,35
62,96,37
44,27,55
71,45,86
61,12,87
61,12,87
53,29,11
94,10,25
54,81,88
75,64,63
92,49,95
79,36,72
59,33,21
73,59,54
29,14,97
71,45,86
65,66,16
57,43,23
88,75,73
52,99,51
60,56,22
89,59,63
94,81,14
22,34,98
73,59,54
88,78,83
70,43,13
82,48,94
70,47,43
39,73,27
49,91,36
94,20,45
59,48,38
29,68,51
25,15,65
39,73,27
59,33,21
12,65,36
66,52,35
55,49,50
57,65,85
87,35,21
22,34,98
95,76,84
73,59,54
35,44,35
56,34,13
72,19,19
50,32,51
29,14,97
13,53,21
94,10,56
91,52,22
16,87,37
98,31,16
50,64,15
27,30,14
64,64,68
99,53,25
91,52,22
49,29,79
29,14,97
29,14,97
52,93,43
44,40,37
44,27,55
60,73,64
81,43,35
61,12,87
12,34,36
28,14,53
42,54,99
72,19,19
15,81,23
25,15,65
57,43,23
81,43,35
82,56,89
76,87,40
70,43,13
31,46,60
31,46,60
13,53,21
33,34,98
70,47,43
82,81,83
43,84,10
21,75,29
54,76,89
30,73,52
67,52,94
76,87,40
84,40,34
70,47,43
57,43,23
40,85,34
25,15,65
92,49,95
70,47,43
60,56,22
47,92,48
64,80,60
18,54,88
70,47,43
53,29,11
66,52,35
16,87,37
53,29,11
53,29,11
73,59,54
56,81,34
47,92,48
79,17,49
54,70,56
44,40,37
48,54,57
73,59,54
81,43,35
54,81,88
69,67,44
21,75,29
88,85,81
95,94,90
71,45,86
73,59,54
41,51,52
33,34,98
41,26,50
79,67,65
25,15,65
83,84,72
29,14,97
49,91,36
91,21,80
57,43,23
41,51,52
64,37,71
40,85,34
18,54,88
54,66,66
89,57,86
84,68,66
29,68,51
10,44,91
86,77,43
44,27,55
93,26,54
79,67,65
47,92,48
31,76,38
86,69,50
21,75,29
90,39,52
88,75,73
41,51,52
50,32,51
29,14,97
79,67,65
18,54,88
76,89,36
76,36,22
76,87,40
88,75,73
73,59,54
70,47,43
38,62,81
21,75,21
67,27,29
10,44,91
74,17,59
67,52,94
53,51,25
41,26,50
57,10,38
13,53,21
15,81,23
89,59,63
70,47,43
81,32,45
