56,62
52,43
77,74
65,0
26,82
67,42
7,56
5,17
35,84
41,58
54,3
64,26
15,66
100,41
94,16
31,63
83,63
86,40
41,34
2,94
89,2
41,29
0,28
7,49
12,40
85,38
100,42
52,34
89,74
76,69
17,81
93,28
40,53
82,76
38,64
99,4
36,94
97,31
92,46
31,75
5,80
9,71
20,38
96,21
65,51
76,6
71,42
63,16
40,27
13,17
4,7
31,33
89,45
95,77
53,47
81,100
88,69
3,32
21,76
82,83
7,32
9,50
64,48
84,95
63,26
26,14
99,98
15,46
75,77
67,17
44,87
47,1
15,100
46,9
59,89
81,54
42,0
73,4
70,59
82,40
41,99
77,62
30,77
43,17
7,31
26,25
27,51
10,44
82,87
3,7
68,92
25,37
64,23
98,56
19,28
63,90
17,19
13,61
20,46
14,91
